Title,Price (€),Square Meters,Number of Rooms,City,Municipality,Neighborhood,Street,Floor,Number of Floors,Advertiser Type,Date Posted,Link
Novi Beograd - Soul 64 #66712,1000,60,2,Beograd,Opština Novi Beograd,Blok 67a (A blok),Omladinskih brigada,IV,10,Agency,3/17/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/novi-beograd---soul-64-66712/5425646904735?kid=1
Novi Beograd - Blok 61 #66661,950,87,3,Beograd,Opština Novi Beograd,Blok 61,Dr Ivana Ribara,XI,18,Agency,3/17/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/novi-beograd---blok-61-66661/5425646904734?kid=1
"Mirijevo, mereno 32m2 ID#14439",350,16,0.5,Beograd,Opština Zvezdara,Mirijevo,Davorina Jenka,PR,3,Agency,3/17/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/mirijevo-mereno-32m2-id14439/5425646904733?kid=1
"3.0 stan kod Londona, Kralja Milana ID#3583",1500,102,3,Beograd,Opština Stari grad,London,Kralja Milana,V,6,Agency,3/17/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/3-0-stan-kod-londona-kralja-milana-id3583/5425646590413?kid=1
"3.0 stan kod Zemunskog keja, Karađorđeva ID#3593",790,78,3,Beograd,Opština Zemun,Kej,Karađorđeva,XIII,21,Agency,3/17/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/3-0-stan-kod-zemunskog-keja-karadjordjeva-id3/5425646662879?kid=1
"Bul. Zorana Đinđića, Arena ID#54779",600,43,1,Beograd,Opština Novi Beograd,Blok 30 (B92),Bulevar Zorana Đinđića,II,10,Agency,3/17/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/bul-zorana-djindjica-arena-id54779/5425646904723?kid=1
Poslovni prostor 56m2 sa  dvorištem,699,30,1,Beograd,Opština Savski venac,Beograd na vodi,Kraljice Drage Obrenović,PR,17,Agency,3/17/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/poslovni-prostor-56m2-sa-dvoristem/5425646904800?kid=1
"Bele vode, garsonjera",190,22,0.5,Beograd,Opština Čukarica,Bele vode,Crveno barjače,,,Owner,3/17/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/bele-vode-garsonjera/5425646496346?kid=1
"Altina, novogradnja, parking mesto, ID 25453",500,47,1.5,Beograd,Opština Zemun,Altina,Zire Adamovića,III,,Agency,3/17/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/altina-novogradnja-parking-mesto-id-25453/5425646904798?kid=1
"Vračar, Neimar, duplex 140m2+T20m2",1500,140,3.5,Beograd,Opština Vračar,Neimar,Bokeljska,VI,7,Agency,3/17/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/vracar-neimar-duplex-140m2t20m2/5425646904796?kid=1
"Surčin, smestaj za radnike",800,30,1.5,Beograd,Opština Surčin,Surčin (mesto),Vojvođanska,,,Agency,3/17/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/surcin-smestaj-za-radnike/5425645922431?kid=1
"Centar, 51m2, 2.0 - odličan",950,51,2,Beograd,Opština Stari grad,Centar,Cara Uroša,VI,,Agency,3/17/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/centar-51m2-2-0---odlican/5425646199631?kid=1
Izdaje se dvosoban stan na Vračaru,700,45,2,Beograd,Opština Vračar,Centar,,VI,7,Agency,3/17/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/izdaje-se-dvosoban-stan-na-vracaru/5425646899055?kid=1
"Prekoputa Siva-a, namešten 1.5",550,46,1.5,Beograd,Opština Novi Beograd,Blok 21,Bulevar Mihajla Pupina,VI,8,Agency,3/17/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/prekoputa-siva-a-namesten-1-5/5425646609740?kid=1
"Lux dvosoban stan 61m2, namešten, Wellport",890,61,2,Beograd,Opština Novi Beograd,Blok 65,Tadije Sondermajera,III,22,Owner,3/17/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/lux-dvosoban-stan-61m2-namesten-wellport/5425644343765?kid=1
Širi centar - Dedinje #66707,5000,450,5,Beograd,Opština Savski venac,Dedinje,Heroja Milana Tepića,I,2,Agency,3/17/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/siri-centar---dedinje-66707/5425646904706?kid=1
"Wellport , 3.0 stan sa garažnim mestom ID#14437",2000,97,3,Beograd,Opština Novi Beograd,Blok 65,Tadije Sondermajera,XVI,20,Agency,3/17/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/wellport-3-0-stan-sa-garaznim-mestom-id14437/5425646904705?kid=1
Milesevska 1.5 stan 40m2,450,40,1.5,Beograd,Opština Vračar,Kalenić pijaca,,,,Agency,3/17/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/milesevska-1-5-stan-40m2/5425646871695?kid=1
