Title,Price (€),Square Meters,Number of Rooms,City,Municipality,Neighborhood,Street,Floor,Number of Floors,Advertiser Type,Date Posted,Link
West 65-premium stan sa garažnim mestom,2200,96,3,Beograd,Opština Novi Beograd,Blok 65,Omladinskih Brigada,III,,Agency,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/west-65-premium-stan-sa-garaznim-mestom/5425646953407?kid=4
Lux petosoban stan,1100,130,5,Beograd,Opština Palilula,Bogoslovija,Sloga 5,IV,4,Owner,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/lux-petosoban-stan/5425646678244?kid=4
Izdajem nov trosoban stan sa podnim grejanjem,400,55,3,Beograd,Opština Zemun,Batajnica,Jasenovačkih mučenika,VPR,1,Owner,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/izdajem-nov-trosoban-stan-sa-podnim-grejanjem/5425646965813?kid=4
"Dvosoban stan, novogradnja, 40m2, Alaska, vlasnik",450,40,2,Beograd,Opština Zemun,Gornji grad,Alaska,IV,5,Owner,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/dvosoban-stan-novogradnja-40m2-alaska-vlasnik/5425646965812?kid=4
Centar - Beograd na vodi BW #66466,1600,75,3,Beograd,Opština Savski venac,Beograd na vodi,Luke Celovica Trebinjca,I,8,Agency,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/centar---beograd-na-vodi-bw-66466/5425646845542?kid=4
Bežanijska kosa - Bezanijska kosa 2 #66497,450,55,2,Beograd,Opština Novi Beograd,Bežanijska kosa 2,Nedeljka Gvozdenovica,II,5,Agency,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/bezanijska-kosa---bezanijska-kosa-2-66497/5425646857586?kid=4
Zemun - Gornji grad #66784,650,80,3,Beograd,Opština Zemun,Gornji grad,Živka Petrovića,I,2,Agency,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/zemun---gornji-grad-66784/5425646941183?kid=4
Centar - Zvezdara kluz #66841,600,60,3,Beograd,Opština Zvezdara,Kluz,Hercegovacka,VI,7,Agency,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/centar---zvezdara-kluz-66841/5425646965249?kid=4
"Stan Slavija,Vracar",700,45,1.5,Beograd,Opština Vračar,Slavija,Kralja Milutina,V,9,Owner,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/stan-slavija-vracar/5425646965806?kid=4
"Tih, 2-soban stan na gornjem Dorćolu",700,40,2,Beograd,Opština Stari grad,Dorćol,Gospodar Jevremova,IV,6,Owner,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/tih-2-soban-stan-na-gornjem-dorcolu/5425646804607?kid=4
Vračar Hadži Djerina,1400,85,2.5,Beograd,Opština Vračar,Bulevar kralja Aleksandra,Hadži Đerina,II,5,Owner,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/vracar-hadzi-djerina/5425646964925?kid=4
Lux nov 3.0 opremljen stan+garaza,1200,70,3,Beograd,Opština Voždovac,Trošarina,Beranska,III,,Agency,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/lux-nov-3-0-opremljen-stangaraza/5425646964923?kid=4
Izdaje se lux stan 145 m2 – Hram Sv. Save-Garaža I,2000,145,4.5,Beograd,Opština Vračar,Hram svetog Save,Patrijarha Varnave,IV,5,Agency,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/izdaje-se-lux-stan-145-m2-hram-sv-save-garaza/5425645749782?kid=4
Jednosoban stan u Medakovicu 2,400,42,1,Beograd,Opština Voždovac,Medaković 2,Radovana Simića Cige,VPR,7,Owner,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/jednosoban-stan-u-medakovicu-2/5425646965891?kid=4
+ Voždovac sf 57,1150,71,3,Beograd,Opština Voždovac,FON - Bilećka,Jove Ilica,I,7,Agency,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/vozdovac-sf-57/5425646642718?kid=4
#NAME?,900,56,2.5,Beograd,Opština Voždovac,FON - Bilećka,Jove Ilica,III,6,Agency,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/vozdovac-sf/5425646819566?kid=4
Centar - Stari grad #56257,400,28,1,Beograd,Opština Stari grad,Bajlonijeva pijaca,Džordža Vašingtona,I,4,Agency,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/centar---stari-grad-56257/5425646953419?kid=4
Centar - Vracar #66729,900,70,3,Beograd,Opština Vračar,Južni bulevar,Juzni Bulevar,I,5,Agency,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/centar---vracar-66729/5425646926026?kid=4
Centar-TOP lokacija,800,60,2,Beograd,Opština Stari grad,Obilićev venac,Maršala Birjuzova,III,5,Owner,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/centar-top-lokacija/5425646965323?kid=4
Garsonjera,200,18,0.5,Beograd,Opština Čukarica,Cerak,Šavička,PR,5,Owner,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/garsonjera/5425646965318
"Namešten, renoviran stan, Šumice ID#14614",600,38,2,Beograd,Opština Voždovac,Šumice,Cara Justinijana Prvog,II,4,Agency,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/namesten-renoviran-stan-sumice-id14614/5425646964328?kid=4
Garsonjera lux,450,34,1,Beograd,Opština Voždovac,Lekino brdo,Sundečićeva,PSUT,3,Owner,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/garsonjera-lux/5425642649039?kid=4
"Garsonjera, Pere Segedinca",430,31,1,Beograd,Opština Novi Beograd,Stara Bežanija,Pere Segedinca,II,4,Owner,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/garsonjera-pere-segedinca/5425644312128?kid=4
Novi Beograd - Hotel jugoslavija 83 m2,1200,83,3,Beograd,Opština Novi Beograd,Blok 11,Klare Cetkin 7/89 11 Sprat,XI,,Owner,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/novi-beograd---hotel-jugoslavija-83-m2/5425646853125?kid=4
Izdavanje Lux stana Karaburma,499,40,1.5,Beograd,Opština Palilula,Karaburma,Đorđa Nešića,PR,5,Owner,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/izdavanje-lux-stana-karaburma/5425645083968?kid=4
Namesten i odmah useljiv stan,350,45,2,Beograd,Opština Palilula,Karaburma,Karpatska,PR,1,Owner,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/namesten-i-odmah-useljiv-stan/5425646274876?kid=4
Izdavanje - Salonski stan - Vračar,1100,92,3,Beograd,Opština Vračar,Centar,Novopazarska,III,,Agency,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/izdavanje---salonski-stan---vracar/5425646704628?kid=4
"Čukarička Padina, 2.0 Stan, Izdavanje, Povoljno! I",500,50,2,Beograd,Opština Čukarica,Čukarička padina,,V,7,Agency,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/cukaricka-padina-2-0-stan-izdavanje-povoljno/5425646965208?kid=4
Višnjička banja 2.5 stan,450,60,2.5,Beograd,Opština Palilula,Višnjička Banja,Slanački put,PR,2,Owner,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/visnjicka-banja-2-5-stan/5425645219683?kid=4
Ekskluzivan stan na Vracaru / 4.0 / 2 garazna,2600,155,4,Beograd,Opština Vračar,Hram svetog Save,,,,Agency,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/ekskluzivan-stan-na-vracaru-4-0-2-garazna/5425636771987?kid=4
"BW ARIA nov lux stan, sa garažnim mestom.",1200,54,2,Beograd,Opština Savski venac,Beograd na vodi,Bulevar Vudroa Vilsona,V,21,Owner,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/bw-aria-nov-lux-stan-sa-garaznim-mestom/5425642656545?kid=4
Blok 1 central Novi Beograd 39m2 + 17m2 terasa,600,39,2,Beograd,Opština Novi Beograd,Blok 1,Omladinskih brigada,IX,9,Owner,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/blok-1-central-novi-beograd-39m2-17m2-terasa/5425646963355?kid=4
Novogradnja Cara Dušana Zemun,650,43,1.5,Beograd,Opština Zemun,Cara Dušana,Cara Dušana,II,4,Owner,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/novogradnja-cara-dusana-zemun/5425646965290?kid=4
"Dizajnerski lux stan kod Hrama,garaza",2700,115,4,Beograd,Opština Vračar,Hram svetog Save,,VI,,Agency,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/dizajnerski-lux-stan-kod-hrama-garaza/5425646965292?kid=4
BW Vista ID#43270,1100,57,2,Beograd,Opština Savski venac,Beograd na vodi,Hercegovačka,XVI,19,Agency,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/bw-vista-id43270/5425646965189?kid=4
Jednosoban stan u Visnjicevoj,600,38,1,Beograd,Opština Stari grad,Dorćol,Višnjićeva,II,5,Owner,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/jednosoban-stan-u-visnjicevoj/5425646714706?kid=4
"Namešten dvosoban stan 52m², Beograd-Voždovac FON",450,52,2,Beograd,Opština Voždovac,FON - Bilećka,Kostolačka,PR,4,Owner,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/namesten-dvosoban-stan-52m-beograd-vozdovac-f/5425646860756?kid=4
Centar - Palilula #66719,500,70,3,Beograd,Opština Stari grad,Centar,Bulevar Despota Stefana,III,4,Agency,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/centar---palilula-66719/5425646924686?kid=4
"Namešten, moderan stan, dupleks ID#14458",700,81,3,Beograd,Opština Voždovac,Banjica,Paunova,IV,8,Agency,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/namesten-moderan-stan-dupleks-id14458/5425646907678?kid=4
"Zemun, Cara Dušana, 48m2 ID#14562",570,48,2,Beograd,Opština Zemun,Cara Dušana,Cara Dušana,III,3,Agency,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/zemun-cara-dusana-48m2-id14562/5425646941160?kid=4
Mesecne rezija uključeno u cenu,480,53,2,Beograd,Opština Zemun,Altina,Borhesova 39 altina,I,5,Owner,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/mesecne-rezija-ukljuceno-u-cenu/5425456529224?kid=4
"A blok, lux penthouse, garaža, ID 10000",2000,90,3,Beograd,Opština Novi Beograd,Blok 67a (A blok),Jurija Gagarina,IX,,Agency,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/a-blok-lux-penthouse-garaza-id-10000/5425643371112?kid=4
"ZepTerra, lux, komforan, garaža, ID 20735",950,54,2,Beograd,Opština Novi Beograd,Blok 65,Bulevar heroja sa Košara,I,8,Agency,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/zepterra-lux-komforan-garaza-id-20735/5425646789647?kid=4
"New Minel, lux, novogranja, garaža, ID 25476",950,60,2.5,Beograd,Opština Novi Beograd,Blok 65,Tošin bunar,III,7,Agency,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/new-minel-lux-novogranja-garaza-id-25476/5425646933170?kid=4
"Dorćol, kvalitetna novogradnja, ID 23217",800,40,2,Beograd,Opština Stari grad,Dorćol,Skender Begova,I,5,Agency,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/dorcol-kvalitetna-novogradnja-id-23217/5425644881876?kid=4
"K District, Dorcol, 2.0",1200,60,2,Beograd,Opština Stari grad,K-District,Dunavska,I,11,Owner,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/k-district-dorcol-2-0/5425643907518?kid=4
Lux jednosoban stan kod Opštine Novi Beograd,600,32,1,Beograd,Opština Novi Beograd,Opština,Omladinskih brigada,II,8,Owner,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/lux-jednosoban-stan-kod-opstine-novi-beograd/5425646963356?kid=4
"Novi Beograd - Arena, 3,0 s, 84 m2, namešten",800,84,3,Beograd,Opština Novi Beograd,Arena,Antifašističke borbe,III,6,Agency,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/novi-beograd---arena-3-0-s-84-m2-namesten/5425646384671?kid=4
Prelep stan sa panoramskim pogledom ID#14563,650,41,1.5,Beograd,Opština Vračar,Crveni krst,Grčića Milenka,XVII,20,Agency,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/prelep-stan-sa-panoramskim-pogledom-id14563/5425646941206?kid=4
"Beograd na vodi,Kings Park,2.0,Useljiv",1200,55,2,Beograd,Opština Savski venac,Beograd na vodi,Luke Ćelovića Trebinjca,III,15,Agency,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/beograd-na-vodi-kings-park-2-0-useljiv/5425646816967?kid=4
"Blok 63,3-soban,opremljen,useljiv ID#13276",500,70,3,Beograd,Opština Novi Beograd,Blok 63,Jurija Gagarina,I,,Agency,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/blok-63-3-soban-opremljen-useljiv-id13276/5425646964344?kid=4
Izdajem stan na Vracaru-centar,400,32,1.5,Beograd,Opština Vračar,Kalenić pijaca,Novopazarska,II,3,Owner,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/izdajem-stan-na-vracaru-centar/5425642847552?kid=4
"Hotel YU, 2.0, 54 m2, T, II sprat, renoviran",650,54,2,Beograd,Opština Novi Beograd,Hotel Jugoslavija,Palmira Toljatija,II,5,Agency,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/hotel-yu-2-0-54-m2-t-ii-sprat-renoviran/5425646963350?kid=4
"Dravska, 67m2, novogradnja, moderan, garaža,terasa",1200,67,2.5,Beograd,Opština Vračar,Crveni krst,Dravska,,,Agency,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/dravska-67m2-novogradnja-moderan-garaza-teras/5425646867259?kid=4
"Crveni krst, novogradnja, garaža, ID 12663",900,85,3,Beograd,Opština Vračar,Crveni krst,Golubačka,III,6,Agency,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/crveni-krst-novogradnja-garaza-id-12663/5425635324731?kid=4
Novi Beograd - Belville #65967,700,54,2,Beograd,Opština Novi Beograd,Blok 67 (Belvil),Đorđa Stanojevića,VIII,13,Agency,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/novi-beograd---belville-65967/5425646932905?kid=4
Porodični stan na top lokaciji – dupleks 80m²,550,80,2.5,Beograd,Opština Čukarica,Bele vode,Crveno barjače,II,3,Agency,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/porodicni-stan-na-top-lokaciji-dupleks-80m/5425646960595
"Izdaje se lux ,renoviran stan,Otona Župančiča ID#1",650,40,1,Beograd,Opština Novi Beograd,Stari Merkator,Otona Župančiča,II,,Agency,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/izdaje-se-lux-renoviran-stan-otona-zupancica/5425646964319?kid=4
"Partizanske avijacije,novogradnja,prazan ID#817889",650,84,3,Beograd,Opština Novi Beograd,Bežanijska kosa 1,Partizanske avijacije,I,6,Agency,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/partizanske-avijacije-novogradnja-prazan-id81/5425646964318?kid=4
Luksuzan trosoban stan u zgradi Kings Park,1500,74,3,Beograd,Opština Savski venac,Beograd na vodi,Luke Ćelovića Trebinjca,XIV,15,Owner,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/luksuzan-trosoban-stan-u-zgradi-kings-park/5425646435877?kid=4
Komforan stan kod opštine Novog Beograda i Fontane,650,58,3,Beograd,Opština Novi Beograd,Fontana,Pariske komune,I,9,Owner,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/komforan-stan-kod-opstine-novog-beograda-i-fo/5425646877819?kid=4
"BW Quartet, trosoban, 96m2+23m2 dvorište, pr",1800,96,3,Beograd,Opština Savski venac,Beograd na vodi,,PR,9,Agency,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/bw-quartet-trosoban-96m223m2-dvoriste-pr/5425646935625?kid=4
"22 blok, prazan, odlican za poslovni prostor, gara",900,87,3.5,Beograd,Opština Novi Beograd,Blok 22,Antifašističke borbe,I,5,Agency,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/22-blok-prazan-odlican-za-poslovni-prostor-ga/5425646964304?kid=4
Izdajem stan,330,42,1.5,Beograd,Opština Grocka,Kaluđerica,Smederevski put,II,3,Owner,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/izdajem-stan/5425646964375?kid=4
"Južni Bulevar,57m2.3.0.Renoviran",850,57,3,Beograd,Opština Vračar,Južni bulevar,Južni bulevar,I,7,Agency,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/juzni-bulevar-57m2-3-0-renoviran/5425646963331?kid=4
Novi Beograd - Lastavice Garaza #66652,750,56,2,Beograd,Opština Novi Beograd,Blok 67a (A blok),Jurija Gagarina,IV,10,Agency,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/novi-beograd---lastavice-garaza-66652/5425646885605?kid=4
Komforan trosoban stan kod Slavije,1100,115,3,Beograd,Opština Vračar,Slavija,Beogradska,III,5,Owner,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/komforan-trosoban-stan-kod-slavije/5425646724728?kid=4
"BW Aqua - 3.0, moderno opremljen, sa garažom",1500,76,3,Beograd,Opština Savski venac,Beograd na vodi,,III,,Agency,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/bw-aqua---3-0-moderno-opremljen-sa-garazom/5425646820580?kid=4
"Lux sa garažom u ceni, odmah useljiv",1350,100,4,Beograd,Opština Vračar,Crveni krst,Vojvode Šupljikca,III,5,Agency,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/lux-sa-garazom-u-ceni-odmah-useljiv/5425646963529?kid=4
Novogradnja-duplex-lux ID#43200,1200,150,4,Beograd,Opština Zvezdara,Olimp,Vojvode Blažete,V,5,Agency,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/novogradnja-duplex-lux-id43200/5425646507110?kid=4
Lekino brdo ID#43223,550,65,2,Beograd,Opština Voždovac,Lekino brdo,Varvarinska,IV,4,Agency,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/lekino-brdo-id43223/5425646785953?kid=4
Novogradnja-Lux ID#42594,900,80,3,Beograd,Opština Novi Beograd,Stara Bežanija,Zemunska,II,,Agency,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/novogradnja-lux-id42594/5425646565684?kid=4
Vračar-Novogradnja-Lux ID#43253,750,55,2,Beograd,Opština Zvezdara,Đeram pijaca,Gajeva,I,,Agency,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/vracar-novogradnja-lux-id43253/5425646808356?kid=4
Izuzetan stan + garažno mesto,700,54,2,Beograd,Opština Novi Beograd,Blok 63,Evropska,IV,5,Agency,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/izuzetan-stan-garazno-mesto/5425646952763?kid=4
Zemun-58-2.0-Renovirano-Uknjižen,500,58,2,Beograd,Opština Zemun,Save Kovačevića,Save Burića,II,6,Agency,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/zemun-58-2-0-renovirano-uknjizen/5425646742861?kid=4
"Savada, lux, novogradnja, ID 25438",900,55,2,Beograd,Opština Novi Beograd,Blok 67a (A blok),Uroša Martinovića,II,7,Agency,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/savada-lux-novogradnja-id-25438/5425646899152?kid=4
Lep jednosoban stan centar Slavija -Useljiv Odmah,600,38,1,Beograd,Opština Savski venac,Kneza Miloša,Birčaninova,III,5,Agency,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/lep-jednosoban-stan-centar-slavija--useljiv-o/5425644801796?kid=4
"Lux stan, savršena lokacija",790,48,2,Beograd,Opština Zvezdara,Đeram pijaca,Jedrenska,III,5,Agency,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/lux-stan-savrsena-lokacija/5425646963303?kid=4
Dimitrija Tucovica 1.0 stan,350,32,1,Beograd,Opština Zvezdara,Dimitrija Tucovića,Dimitrija Tucovića,I,4,Owner,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/dimitrija-tucovica-1-0-stan/5425646963301?kid=4
garsonjera,550,26,0.5,Beograd,Opština Zvezdara,Dimitrija Tucovića,Dimitrija Tucovića 64,IV,7,Owner,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/garsonjera/5425646963173?kid=4
"Trosoban lux stan,parking",900,60,3,Beograd,Opština Voždovac,Lekino brdo,,III,,Agency,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/trosoban-lux-stan-parking/5425646931091?kid=4
"West 65, izdavanje, noviji, 2.0, namešten, garaža",1000,60,2,Beograd,Opština Novi Beograd,Blok 65,Omladinskih brigada,IV,7,Agency,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/west-65-izdavanje-noviji-2-0-namesten-garaza/5425646375623?kid=4
#NAME?,650,47,2,Beograd,Opština Novi Beograd,Tošin bunar,Tosin Bunar,VIII,9,Agency,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/-novi-beograd-sf/5425646962274?kid=4
"BW Aurora, namešten, trosoban, 81m2, garaža",1600,81,3,Beograd,Opština Savski venac,Beograd na vodi,Bulevar Vudroa Vilsona,III,23,Agency,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/bw-aurora-namesten-trosoban-81m2-garaza/5425646752177?kid=4
"Nov, neuseljavan- garaza - Lastavice",750,40,2,Beograd,Opština Novi Beograd,Blok 58,Jurija Gagarina,IX,,Agency,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/nov-neuseljavan--garaza---lastavice/5425645149004?kid=4
Izdajem nameštenu garsonjeru 23m2 na Karaburmi,300,23,1,Beograd,Opština Palilula,Karaburma,Mirijevski bulevar,IV,5,Owner,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/izdajem-namestenu-garsonjeru-23m2-na-karaburm/5425644146580?kid=4
Izdavanje luksuznog stana na Vracaru / 4.0 / 2 g,2800,158,4,Beograd,Opština Vračar,Hram svetog Save,HRAM,III,6,Agency,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/izdavanje-luksuznog-stana-na-vracaru-4-0-2-g/5425642843492?kid=4
"Lekino brdo, neuseljavan, nov, ID 25361",680,42,2,Beograd,Opština Voždovac,Lekino brdo,Tetovska,II,4,Agency,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/lekino-brdo-neuseljavan-nov-id-25361/5425646825262?kid=4
Stepe Stepanović dvosoban useljiv,430,40,1.5,Beograd,Opština Voždovac,Naselje Stepa Stepanović,Generala Štefanika,III,,Agency,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/stepe-stepanovic-dvosoban-useljiv/5425646963281?kid=4
Izdaje se garsonjera u centru Karaburme,300,25,1,Beograd,Opština Palilula,Karaburma,Vlašićka,III,4,Owner,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/izdaje-se-garsonjera-u-centru-karaburme/5425645784582?kid=4
"Dvosoban stan za izdavanje, Stari Đeram,50m",650,50,2,Beograd,Opština Zvezdara,Đeram pijaca,Šabačka,I,5,Owner,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/dvosoban-stan-za-izdavanje-stari-djeram-50m/5425646190716?kid=4
"Novi Beograd, Lastavice 2.0,garaza",750,56,2,Beograd,Opština Novi Beograd,Blok 58,Jurija Gagarina,IV,8,Agency,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/novi-beograd-lastavice-2-0-garaza/5425646963478?kid=4
Brand new - garage - river view,1700,72,3,Beograd,Opština Savski venac,Beograd na vodi,Hercegovačka,,,Agency,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/brand-new---garage---river-view/5425644578019?kid=4
Četvorosoban namešten stan 70m²,690,70,3,Beograd,Opština Voždovac,Darvinova pošta,Sanska,II,4,Owner,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/cetvorosoban-namesten-stan-70m/5425646963477?kid=4
"Lux stan sa garažnim mestom, terasa 49m2",750,50,2,Beograd,Opština Zemun,Donji grad,Novogradska,VPR,,Agency,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/lux-stan-sa-garaznim-mestom-terasa-49m2/5425646820653?kid=4
"Udoban, praktičan, luksuzan stan",550,40,1.5,Beograd,Opština Novi Beograd,Stara Bežanija,Pere Segedinca,XV,19,Owner,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/udoban-praktican-luksuzan-stan/5425646959441
"Miljakovc I, lep i komforan dvosoban stan",370,60,2,Beograd,Opština Rakovica,Miljakovac,Stevana Opačića,VPR,6,Owner,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/miljakovc-i-lep-i-komforan-dvosoban-stan/5425646254255?kid=4
Stan Ledine 42m2,300,42,1.5,Beograd,Opština Novi Beograd,Ledine,Zlotska,I,,Owner,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/stan-ledine-42m2/5425645797300?kid=4
Izdajem stan na Vračaru kod Kalenića,600,41,2,Beograd,Opština Vračar,Kalenić pijaca,Trnska,PR,4,Owner,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/izdajem-stan-na-vracaru-kod-kalenica/5425645815923?kid=4
"Zvezdara,Mirijevo II 1.5,33m2",270,33,1.5,Beograd,Opština Zvezdara,Mirijevo,Matice srpske,PR,4,Owner,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/zvezdara-mirijevo-ii-1-5-33m2/5425645596745?kid=4
Stan-uracunati troskovi-parking,350,32,1,Beograd,Opština Zemun,Altina,Radenka Miševića,VPR,2,Owner,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/stan-uracunati-troskovi-parking/5425643504255?kid=4
Senjak duplex stan sa prelepom baštom 4-soban,2000,130,4,Beograd,Opština Savski venac,Senjak,Kozjačka,VPR,2,Agency,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/senjak-duplex-stan-sa-prelepom-bastom-4-soban/5425646627160?kid=4
"Mir i luksuz u srcu Vračara, lični parking",750,54,3,Beograd,Opština Vračar,Čubura,Vojvode Hrvoja / Kneza Stracimira 2,VPR,4,Owner,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/mir-i-luksuz-u-srcu-vracara-licni-parking/5425646962759?kid=4
Palata Pravde LUX Renoviran kompletno opremljen!,900,55,2,Beograd,Opština Savski venac,Palata pravde,Risanska 10,V,5,Owner,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/palata-pravde-lux-renoviran-kompletno-opremlj/5425646962456?kid=4
"Lion, 46 kvadrata, 2 sobe",450,46,1.5,Beograd,Opština Zvezdara,Lion,Radoja Domanovića,VPR,3,Owner,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/lion-46-kvadrata-2-sobe/5425644151375?kid=4
